campaign_id,campaign_name,status,impressions,clicks,ctr_percent,search_impression_share,average_cpc,cost_per_click,cost,conversions,conversion_value,cost_per_conversion
22412246566,RGA Website- ads,ENABLED,2921,111,3.8,0.0999,15.98,15.98,1773.3,5.0,0.0,354.66
0,TOTAL,,2921,111,3.8,,15.98,15.98,1773.3,5.0,0.0,354.66
